Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
10 000 m,W,1985,1,Szabó Karolina Csepel SC,Szabó Karolina,Csepel SC,1965.7
10 000 m,W,1985,2,Fazekas Erika Diósgyőri VTK,Fazekas Erika,Diósgyőri VTK,1998.1
10 000 m,W,1985,3,Schaffner Antónia BVSC,Schaffner Antónia,BVSC,2065.65
10 000 m,W,1986,1,Szabó Karolina Bp. Honvéd,Szabó Karolina,Bp. Honvéd,1927.64
10 000 m,W,1986,2,Fazekas Erika Diósgyőri VTK,Fazekas Erika,Diósgyőri VTK,1942.62
10 000 m,W,1986,3,Ágoston Zita Dunaújvárosi Kohász,Ágoston Zita,Dunaújvárosi Kohász,2000.58
10 000 m,W,1987,1,Szabó Karolina Bp. Honvéd,Szabó Karolina,Bp. Honvéd,1995.35
10 000 m,W,1987,3,Ágoston Zita Bp. Honvéd,Ágoston Zita,Bp. Honvéd,2051.98
10 000 m,W,1988,1,Fazekas Erika Diósgyőri VTK,Fazekas Erika,Diósgyőri VTK,1957.87
10 000 m,W,1988,2,Ágoston Zita Bp. Honvéd,Ágoston Zita,Bp. Honvéd,1978.53
10 000 m,W,1988,3,Visnyei Márta Szegedi VSE,Visnyei Márta,Szegedi VSE,2009.97
10 000 m,W,1989,1,Ágoston Zita Bp. Honvéd,Ágoston Zita,Bp. Honvéd,1979.7
10 000 m,W,1989,2,Visnyei Márta Szegedi VSE,Visnyei Márta,Szegedi VSE,2011.83
10 000 m,W,1989,3,Földingné Nagy Judit Győri Dózsa,Földingné Nagy Judit,Győri Dózsa,2022.8
10 000 m,W,1990,1,Barócsi Heléna Szolnoki MÁV-MTE,Barócsi Heléna,Szolnoki MÁV-MTE,1980.13
10 000 m,W,1990,2,Földingné Nagy Judit Győri Dózsa,Földingné Nagy Judit,Győri Dózsa,1991.47
10 000 m,W,1990,3,Visnyei Márta SZVSE,Visnyei Márta,SZVSE,2035.63
